Lattices initiated in 0.27 seconds
Specimen build in 0.12 seconds
         231495 function calls (230204 primitive calls) in 0.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.004    0.000 _compiler.py:738(compile)
        8    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       28    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       12    0.000    0.000    0.001    0.000 __init__.py:28(get)
        4    0.000    0.000    0.000    0.000 log.py:18(format)
       28    0.000    0.000    0.041    0.001 program.py:286(_build_attributes)
        9    0.000    0.000    0.002    0.000 snippet.py:53(__init__)
       56    0.000    0.000    0.046    0.001 shader.py:326(uniforms)
       28    0.000    0.000    0.046    0.002 program.py:410(all_uniforms)
      197    0.000    0.000    0.000    0.000 enum.py:669(__call__)
       62    0.000    0.000    0.000    0.000 snippet.py:568(__setitem__)
      953    0.000    0.000    0.000    0.000 snippet.py:192(next)
       14    0.000    0.000    0.000    0.000 _internal.py:436(_promote_fields)
      462    0.000    0.000    0.000    0.000 _parser.py:170(append)
       18    0.000    0.000    0.001    0.000 argparse.py:1424(add_argument)
      467    0.000    0.000    0.000    0.000 _parser.py:247(match)
       10    0.000    0.000    0.001    0.000 parser.py:47(replace)
       28    0.000    0.000    0.002    0.000 _parser.py:970(parse)
       34    0.000    0.000    0.000    0.000 variable.py:102(__init__)
      197    0.000    0.000    0.000    0.000 enum.py:1074(__new__)
        1    0.000    0.000    0.016    0.016 glfw.py:1(<module>)
      551    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      337    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
     20/5    0.000    0.000    0.077    0.015 transform.py:62(attach)
       56    0.000    0.000    0.000    0.000 enum.py:1483(__and__)
      117    0.000    0.000    0.000    0.000 <frozen posixpath>:396(abspath)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       56    0.000    0.000    0.074    0.001 shader.py:352(code)
      268    0.000    0.000    0.000    0.000 _parser.py:284(tell)
       51    0.000    0.000    0.000    0.000 __init__.py:393(__getitem__)
      117    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
       21    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      597    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       44    0.000    0.000    0.000    0.000 globject.py:12(__init__)
      123    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      117    0.000    0.000    0.000    0.000 <frozen posixpath>:388(normpath)
       56    0.000    0.000    0.000    0.000 shader.py:332(<listcomp>)
       20    0.000    0.000    0.001    0.000 event.py:353(dispatch_event)
      496    0.000    0.000    0.000    0.000 enum.py:1226(value)
       62    0.000    0.000    0.001    0.000 transform.py:53(__setitem__)
        4    0.000    0.000    0.000    0.000 __init__.py:292(__init__)
        1    0.000    0.000    0.001    0.001 collection.py:64(__init__)
      254    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 gpudata.py:96(_compute_extents)
      107    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       18    0.000    0.000    0.000    0.000 argparse.py:173(__init__)
       28    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       18    0.000    0.000    0.000    0.000 shutil.py:1386(get_terminal_size)
       28    0.000    0.000    0.041    0.001 shader.py:335(attributes)
       45    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       40    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
        1    0.000    0.000    0.007    0.007 subprocess.py:2004(_communicate)
      748    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      182    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       28    0.000    0.000    0.041    0.001 program.py:498(all_attributes)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
    35/27    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       14    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      239    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
       15    0.000    0.000    0.000    0.000 parser.py:131(get_hooks)
       72    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       47    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        3    0.000    0.000    0.000    0.000 gettext.py:467(find)
       50    0.000    0.000    0.000    0.000 <frozen os>:673(__getitem__)
       31    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       18    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 subprocess.py:805(__init__)
        2    0.000    0.000    0.037    0.019 __init__.py:49(use)
       24    0.000    0.000    0.001    0.000 parser.py:39(merge_includes)
        1    0.000    0.000    0.060    0.060 __init__.py:139(__new__)
        1    0.000    0.000    0.004    0.004 axes.py:31(__init__)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       27    0.000    0.000    0.000    0.000 variable.py:204(__init__)
       17    0.000    0.000    0.008    0.000 glob.py:60(_iglob)
      617    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.008    0.008 glfw.py:47(_find_library_candidates)
        3    0.000    0.000    0.001    0.000 program.py:48(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      153    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        9    0.000    0.000    0.002    0.000 parser.py:199(parse)
        1    0.000    0.000    0.036    0.036 backend_glfw_deprecated.py:1(<module>)
      6/3    0.000    0.000    0.000    0.000 <frozen posixpath>:420(_joinrealpath)
        3    0.000    0.000    0.007    0.002 selectors.py:402(select)
       51    0.000    0.000    0.000    0.000 __init__.py:386(__getattr__)
      166    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       12    0.000    0.000    0.000    0.000 quantitative_scale.py:126(on_attach)
       65    0.000    0.000    0.002    0.000 parser.py:160(get_uniforms)
       28    0.000    0.000    0.001    0.000 shader.py:372(code)
       14    0.000    0.000    0.008    0.001 glob.py:105(_glob1)
        1    0.000    0.000    0.007    0.007 glfw.py:99(_glfw_get_version)
        3    0.000    0.000    0.000    0.000 argparse.py:1342(__init__)
       38    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        6    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
       18    0.000    0.000    0.000    0.000 argparse.py:606(_format_args)
        6    0.000    0.000    0.000    0.000 locale.py:396(normalize)
