Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     73/7    0.000    0.000    0.086    0.012 program.py:319(__setitem__)
        1    0.000    0.000    0.000    0.000 glfw.py:785(glfwSetErrorCallback)
       64    0.000    0.000    0.001    0.000 snippet.py:170(globals)
       22    0.000    0.000    0.001    0.000 __init__.py:8(find)
      543    0.000    0.000    0.002    0.000 __init__.py:225(compile)
       45    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       12    0.000    0.000    0.001    0.000 __init__.py:28(get)
      141    0.000    0.000    0.000    0.000 enum.py:1473(__or__)
       17    0.000    0.000    0.000    0.000 _internal.py:436(_promote_fields)
       64    0.000    0.000    0.003    0.000 shader.py:118(_replace_hooks)
        9    0.000    0.000    0.002    0.000 snippet.py:53(__init__)
       64    0.000    0.000    0.001    0.000 shader.py:141(replace_with_args)
        8    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        4    0.000    0.000    0.000    0.000 log.py:18(format)
       28    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       28    0.000    0.000    0.004    0.000 _compiler.py:738(compile)
       56    0.000    0.000    0.045    0.001 shader.py:326(uniforms)
      197    0.000    0.000    0.000    0.000 enum.py:669(__call__)
       28    0.000    0.000    0.040    0.001 program.py:286(_build_attributes)
       18    0.000    0.000    0.001    0.000 argparse.py:1424(add_argument)
       10    0.000    0.000    0.001    0.000 parser.py:47(replace)
       28    0.000    0.000    0.045    0.002 program.py:410(all_uniforms)
      953    0.000    0.000    0.000    0.000 snippet.py:192(next)
      462    0.000    0.000    0.000    0.000 _parser.py:170(append)
       62    0.000    0.000    0.000    0.000 snippet.py:568(__setitem__)
      197    0.000    0.000    0.000    0.000 enum.py:1074(__new__)
      467    0.000    0.000    0.000    0.000 _parser.py:247(match)
       34    0.000    0.000    0.000    0.000 variable.py:102(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:292(__init__)
      551    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       28    0.000    0.000    0.003    0.000 _parser.py:970(parse)
       44    0.000    0.000    0.000    0.000 globject.py:12(__init__)
       21    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.016    0.016 glfw.py:1(<module>)
     20/5    0.000    0.000    0.075    0.015 transform.py:62(attach)
       51    0.000    0.000    0.000    0.000 __init__.py:393(__getitem__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      337    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       56    0.000    0.000    0.000    0.000 enum.py:1483(__and__)
      117    0.000    0.000    0.000    0.000 <frozen posixpath>:396(abspath)
       56    0.000    0.000    0.072    0.001 shader.py:352(code)
      254    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      268    0.000    0.000    0.000    0.000 _parser.py:284(tell)
      117    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      597    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      107    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
      117    0.000    0.000    0.000    0.000 <frozen posixpath>:388(normpath)
       18    0.000    0.000    0.000    0.000 shutil.py:1386(get_terminal_size)
       56    0.000    0.000    0.000    0.000 shader.py:332(<listcomp>)
       28    0.000    0.000    0.040    0.001 shader.py:335(attributes)
      123    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      496    0.000    0.000    0.000    0.000 enum.py:1226(value)
        2    0.000    0.000    0.000    0.000 gpudata.py:96(_compute_extents)
       31    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       45    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       28    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
       20    0.000    0.000    0.001    0.000 event.py:353(dispatch_event)
        1    0.000    0.000    0.001    0.001 collection.py:64(__init__)
      748    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 subprocess.py:2004(_communicate)
